time,data
86.90,1527496
86.98,1527548
87.07,1527548
87.15,1527564
87.24,1527599
87.33,1527599
87.41,1527655
87.50,1527625
87.58,1527558
87.67,1527559
87.76,1527567
87.84,1527564
87.93,1527524
88.01,1527537
88.10,1527551
88.18,1527636
88.27,1527613
88.36,1527553
88.44,1527554
88.53,1527548
88.61,1527489
88.70,1527517
88.78,1527594
88.87,1527556
88.96,1527529
89.04,1527497
89.13,1527488
89.21,1527543
89.30,1527584
89.39,1527580
89.47,1527521
89.56,1527507
89.64,1527487
89.73,1527517
89.81,1527563
89.90,1527567
89.99,1527571
90.07,1527597
90.16,1527538
90.25,1527565
90.33,1527552
90.41,1527596
90.50,1527590
90.59,1527582
90.67,1527583
90.76,1527560
90.84,1527505
90.93,1527558
91.02,1527607
91.10,1527547
91.19,1527551
91.27,1527533
91.36,1527504
91.44,1527458
91.53,1527514
91.62,1527552
91.70,1527506
91.79,1527465
91.87,1527436
91.96,1527498
92.04,1527505
92.13,1527535
92.22,1527514
92.30,1527550
92.39,1527579
92.47,1527599
92.56,1527569
92.65,1527521
92.73,1527552
92.82,1527473
92.90,1527499
92.99,1527560
93.07,1527528
93.16,1527520
93.25,1527510
93.33,1527488
93.42,1527442
93.50,1527438
93.59,1527536
93.68,1527603
93.76,1527564
93.85,1527583
93.93,1527550
94.02,1527460
94.11,1527468
94.19,1527514
94.28,1527469
94.36,1527376
94.45,1527390
94.53,1527495
94.62,1527460
94.70,1527447
94.79,1527503
94.88,1527556
94.96,1527578
95.05,1527518
95.13,1527450
95.22,1527441
95.30,1527497
95.39,1527493
95.48,1527514
95.56,1527456
95.65,1527477
95.73,1527550
95.82,1527507
95.91,1527455
95.99,1527459
96.08,1527501
96.16,1527472
96.25,1527436
96.33,1527488
96.42,1527532
96.51,1527538
96.59,1527476
96.68,1527494
96.76,1527526
96.85,1527597
96.93,1527531
97.02,1527465
97.11,1527506
97.19,1527519
97.28,1527477
97.37,1527520
97.45,1527552
97.54,1527510
97.62,1527494
97.71,1527501
97.79,1527495
97.88,1527486
97.97,1527473
98.05,1527411
98.14,1527466
98.22,1527448
98.31,1527395
98.40,1527470
98.48,1527523
98.57,1527515
98.65,1527490
98.74,1527538
98.82,1527596
98.91,1527566
99.00,1527472
99.08,1527435
99.17,1527463
99.25,1527416
99.34,1527428
99.42,1527500
99.51,1527491
99.60,1527481
99.68,1527492
99.77,1527491
99.85,1527513
99.94,1527484
100.03,1527489
100.11,1527493
100.20,1527501
100.28,1527557
100.37,1527537
100.45,1527482
100.54,1527470
100.63,1527454
100.71,1527489
100.80,1527508
100.88,1527559
100.97,1527513
101.05,1527509
101.14,1527492
101.23,1527482
101.31,1527533
101.40,1527610
101.48,1527541
101.57,1527443
101.66,1527393
101.74,1527450
101.83,1527450
101.91,1527511
102.00,1527562
102.08,1527508
102.17,1527485
102.26,1527487
102.34,1527483
102.43,1527548
102.51,1527571
102.60,1527523
102.68,1527485
102.77,1527441
102.86,1527514
102.94,1527573
103.03,1527575
103.11,1527583
103.20,1527566
103.29,1527549
103.37,1527545
103.46,1527527
103.54,1527554
103.63,1527542
103.71,1527575
103.80,1527566
103.89,1527545
103.97,1527540
104.06,1527597
104.14,1527619
104.23,1527586
104.31,1527554
104.40,1527558
104.49,1527456
104.57,1527463
104.66,1527505
104.74,1527547
104.83,1527629
104.92,1527630
105.00,1527588
105.09,1527584
105.17,1527537
105.26,1527443
105.34,1527485
105.43,1527520
105.52,1527570
105.60,1527544
105.69,1527587
105.77,1527562
105.86,1527562
105.95,1527581
106.03,1527505
106.12,1527495
106.20,1527543
106.29,1527495
106.37,1527479
106.46,1527528
106.55,1527551
106.63,1527547
106.72,1527481
106.80,1527489
106.89,1527544
106.97,1527515
107.06,1527564
107.15,1527540
107.23,1527482
107.32,1527558
107.40,1527526
107.49,1527519
107.58,1527583
107.66,1527529
107.75,1527531
107.83,1527602
107.92,1527655
108.00,1527585
108.09,1527544
108.18,1527471
108.26,1527517
108.35,1527595
108.43,1527548
108.52,1527484
108.61,1527506
108.69,1527579
108.78,1527558
108.86,1527527
108.95,1527602
109.04,1527548
109.12,1527552
109.21,1527625
109.29,1527573
109.38,1527596
109.46,1527536
109.55,1527492
109.63,1527502
109.72,1527559
109.81,1527587
109.89,1527590
109.98,1527553
110.06,1527508
110.15,1527498
110.23,1527487
110.32,1527489
110.41,1527488
110.49,1527617
110.58,1527637
110.66,1527580
110.75,1527470
110.84,1527485
110.92,1527505
111.01,1527538
111.09,1527563
111.18,1527576
111.26,1527529
111.35,1527546
111.44,1527559
111.52,1527499
111.61,1527505
111.69,1527556
111.78,1527527
111.86,1527541
111.95,1527591
112.04,1527555
112.12,1527558
112.21,1527569
112.29,1527565
112.38,1527519
112.47,1527483
112.55,1527555
112.64,1527601
112.72,1527554
112.81,1527523
112.90,1527514
112.98,1527486
113.07,1527475
113.15,1527507
113.24,1527478
113.33,1527538
113.41,1527524
113.50,1527535
113.58,1527568
113.67,1527574
113.75,1527526
113.84,1527482
113.93,1527437
114.01,1527439
114.10,1527503
114.18,1527509
114.27,1527576
114.35,1527538
114.44,1527565
114.53,1527529
114.61,1527562
114.70,1527549
114.78,1527576
114.87,1527573
114.96,1527479
115.04,1527503
115.13,1527536
115.21,1527546
115.30,1527511
115.38,1527537
115.47,1527570
115.56,1527545
115.64,1527516
115.73,1527546
115.81,1527561
115.90,1527616
115.98,1527624
116.07,1527635
116.16,1527539
116.24,1527482
116.33,1527454
116.41,1527431
116.50,1527539
116.59,1527570
116.67,1527545
116.76,1527543
116.84,1527593
116.93,1527593
117.01,1527490
117.10,1527486
117.19,1527532
117.27,1527556
117.36,1527562
117.44,1527585
117.53,1527554
117.61,1527546
117.70,1527594
117.79,1527564
117.87,1527486
117.96,1527494
118.04,1527526
118.13,1527510
118.22,1527524
118.30,1527527
118.39,1527535
118.47,1527531
118.56,1527589
118.64,1527581
118.73,1527521
118.82,1527523
118.90,1527483
118.99,1527504
119.07,1527611
119.16,1527579
119.24,1527557
119.33,1527547
119.42,1527548
119.50,1527578
119.59,1527549
119.67,1527536
119.76,1527475
119.85,1527500
119.93,1527498
120.02,1527502
120.10,1527457
120.19,1527509
120.27,1527493
120.36,1527508
120.45,1527499
120.53,1527473
120.62,1527487
120.70,1527553
120.79,1527470
120.87,1527487
120.96,1527504
121.05,1527508
121.13,1527567
121.22,1527534
121.30,1527518
121.39,1527538
121.48,1527544
121.56,1527515
121.65,1527552
121.73,1527508
121.82,1527523
121.90,1527563
121.99,1527482
122.08,1527502
122.16,1527502
122.25,1527489
122.33,1527517
122.42,1527538
122.51,1527553
122.59,1527556
122.68,1527536
122.76,1527478
122.85,1527472
122.93,1527500
123.02,1527552
123.11,1527632
123.19,1527481
123.28,1527427
123.36,1527517
123.45,1527583
123.54,1527585
123.62,1527537
123.71,1527542
123.79,1527552
123.88,1527510
123.96,1527573
124.05,1527550
124.14,1527529
124.22,1527527
124.31,1527486
124.39,1527532
124.48,1527553
124.56,1527524
124.65,1527520
124.74,1527540
124.82,1527527
124.91,1527544
125.00,1527608
125.08,1527601
125.16,1527495
125.25,1527449
125.34,1527460
125.42,1527507
125.51,1527577
125.59,1527501
125.68,1527438
125.77,1527513
125.85,1527515
125.94,1527522
126.02,1527545
126.11,1527496
126.19,1527479
126.28,1527501
126.37,1527495
126.45,1527457
126.54,1527495
126.62,1527498
126.71,1527517
126.79,1527497
126.88,1527447
126.97,1527494
127.05,1527517
127.14,1527543
127.22,1527575
127.31,1527581
127.40,1527562
127.48,1527510
127.57,1527493
127.65,1527574
127.74,1527506
127.82,1527451
127.91,1527523
128.00,1527588
128.08,1527525
128.17,1527469
128.26,1527507
128.34,1527501
128.43,1527549
128.51,1527590
128.60,1527557
128.68,1527536
128.77,1527490
128.86,1527486
128.94,1527554
129.03,1527581
129.11,1527580
129.20,1527521
129.28,1527564
129.37,1527580
129.46,1527530
129.54,1527436
129.63,1527440
129.71,1527529
129.80,1527568
129.89,1527477
129.97,1527460
130.06,1527456
130.14,1527488
130.23,1527468
130.31,1527507
130.40,1527577
130.49,1527508
130.57,1527520
130.66,1527500
130.74,1527542
130.83,1527537
130.91,1527453
131.00,1527485
131.09,1527450
131.17,1527480
131.26,1527548
131.34,1527540
131.43,1527542
131.52,1527521
131.60,1527406
131.69,1527526
131.77,1527522
131.86,1527552
131.94,1527543
132.03,1527486
132.12,1527502
132.20,1527541
132.29,1527559
132.37,1527489
132.46,1527535
132.55,1527476
132.63,1527518
132.72,1527582
132.80,1527539
132.89,1527472
132.97,1527452
133.06,1527490
133.15,1527549
133.23,1527541
133.32,1527475
133.40,1527525
133.49,1527553
133.57,1527505
133.66,1527447
133.75,1527480
133.83,1527554
133.92,1527496
134.00,1527496
134.09,1527567
134.18,1527597
134.26,1527538
134.35,1527511
134.43,1527517
134.52,1527526
