time,raw_data,1_after_scaling,2_after_smoothing,3_after_bias,4_after_hysteresis,is_steady,bias
15.841,2.25644e+06,52.8247,52.8247,52.7344,52.6998,0,0.175873
15.927,2.25624e+06,52.6975,52.6975,52.686,52.6998,0,0.175873
16.013,2.25075e+06,49.1313,49.1313,52.2852,52.2852,0,0.175873
16.099,2.24349e+06,44.4206,44.4206,51.4347,51.4347,0,0.175873
16.185,2.29239e+06,76.166,76.166,53.7671,53.7671,0,0.175873
16.271,2.30844e+06,86.5892,86.5892,57.1403,57.1403,0,0.175873
16.357,2.24805e+06,47.3791,47.3791,56.5903,56.5903,0,0.175873
16.443,2.20893e+06,21.9818,21.9818,53.5093,53.5093,0,0.175873
16.527,2.24157e+06,43.1722,43.1722,52.5469,52.5469,0,0.175873
16.613,2.25684e+06,53.089,53.089,52.5693,52.5469,0,0.175873
16.699,2.19818e+06,15.0008,15.0008,48.7869,48.7869,0,0.175873
16.785,2.17052e+06,-2.95263,-2.95263,43.2219,43.2219,0,0.175873
16.871,2.22713e+06,33.8001,33.8001,41.6887,41.6887,0,0.175873
16.957,2.22023e+06,29.3192,29.3192,40.1786,40.1786,0,0.175873
17.043,2.18539e+06,6.7012,6.7012,33.2321,33.2321,0,0.175873
17.129,2.20969e+06,22.4771,22.4771,26.8209,26.8209,0,0.175873
17.215,2.24484e+06,45.2945,45.2945,26.6125,26.6125,0,0.175873
17.301,2.22748e+06,34.0286,34.0286,27.8171,27.8171,0,0.175873
17.385,2.20562e+06,19.8348,19.8348,25.4834,25.4834,0,0.175873
17.471,2.23787e+06,40.7707,40.7707,24.2516,24.2516,0,0.175873
17.557,2.25856e+06,54.2069,54.2069,28.1722,28.1722,0,0.175873
17.643,2.22891e+06,34.9544,34.9544,31.9629,31.9629,0,0.175873
17.729,2.23794e+06,40.8162,40.8162,32.6645,32.6645,0,0.175873
17.815,2.27853e+06,67.1692,67.1692,36.4495,36.4495,0,0.175873
17.901,2.26484e+06,58.2775,58.2775,41.6071,41.6071,0,0.175873
17.987,2.26218e+06,56.5532,56.5532,45.0147,45.0147,0,0.175873
18.073,2.2642e+06,57.8678,57.8678,46.2721,46.2721,0,0.175873
18.159,2.26053e+06,55.4807,55.4807,48.4173,48.4173,0,0.175873
18.243,2.25554e+06,52.2443,52.2443,51.6582,51.6582,0,0.175873
18.329,2.25667e+06,52.9786,52.9786,52.879,52.879,0,0.175873
18.415,2.25604e+06,52.5657,52.5657,52.7149,52.7149,0,0.175873
18.501,2.25672e+06,53.0111,53.0111,54.5206,54.5206,0,0.175873
18.587,2.25602e+06,52.556,52.556,55.6945,55.6945,0,0.175873
18.673,2.25635e+06,52.7663,52.7663,54.2542,54.2542,0,0.175873
18.759,2.25634e+06,52.7592,52.7592,53.7024,53.7024,0,0.175873
18.845,2.25648e+06,52.8533,52.8533,53.3324,53.3324,0,0.175873
18.931,2.25626e+06,52.7137,52.7137,52.817,52.817,0,0.175873
19.017,2.25638e+06,52.7916,52.7916,52.5481,52.5481,0,0.175873
19.103,2.25634e+06,52.7637,52.7637,52.6,52.5481,0,0.175873
19.187,2.25622e+06,52.6813,52.6813,52.5703,52.5481,0,0.175873
19.273,2.25624e+06,52.6988,52.6988,52.5836,52.5481,0,0.175873
19.359,2.2562e+06,52.6735,52.6735,52.5499,52.5481,0,0.175873
19.445,2.25629e+06,52.73,52.73,52.5673,52.5481,0,0.175873
19.531,2.25629e+06,52.728,52.728,52.5634,52.5481,0,0.175873
19.617,2.25625e+06,52.7027,52.7027,52.5578,52.5481,0,0.175873
19.703,2.25636e+06,52.7741,52.7741,52.5499,52.5481,0,0.175873
19.789,2.2563e+06,52.7384,52.7282,52.5499,52.5481,1,0.17834
19.875,2.25628e+06,52.7248,52.7215,52.5499,52.5481,1,0.171653
19.961,2.25629e+06,52.728,52.7179,52.5499,52.5481,1,0.168082
20.045,2.2563e+06,52.7377,52.7236,52.5499,52.5481,1,0.17373
20.131,2.25627e+06,52.7183,52.7255,52.5499,52.5481,1,0.175678
20.217,2.25627e+06,52.7189,52.7301,52.5499,52.5481,1,0.180222
20.303,2.2563e+06,52.7384,52.7309,52.5499,52.5481,1,0.181066
20.389,2.25619e+06,52.665,52.7246,52.5499,52.5481,1,0.174769
20.475,2.25631e+06,52.7455,52.7289,52.5499,52.5481,1,0.179054
20.561,2.25625e+06,52.7033,52.7218,52.5499,52.5481,1,0.171977
20.647,2.2563e+06,52.739,52.7219,52.5499,52.5481,1,0.172042
20.733,2.25624e+06,52.6975,52.7192,52.5499,52.5481,1,0.169315
20.819,2.25629e+06,52.7274,52.7191,52.5499,52.5481,1,0.169251
20.905,2.25618e+06,52.6572,52.7111,52.5499,52.5481,1,0.1612
20.989,2.25626e+06,52.7098,52.7102,52.5499,52.5481,1,0.160356
21.075,2.25628e+06,52.7215,52.7105,52.5499,52.5481,1,0.160616
21.161,2.25623e+06,52.6936,52.706,52.5499,52.5481,1,0.156136
21.248,2.2562e+06,52.6696,52.7065,52.5499,52.5481,1,0.156591
21.334,2.25629e+06,52.7293,52.7048,52.5499,52.5481,1,0.154968
21.42,2.25626e+06,52.7131,52.7058,52.5499,52.5481,1,0.155942
21.506,2.2564e+06,52.802,52.7121,52.5499,52.5481,1,0.162239
21.592,2.25633e+06,52.7566,52.718,52.5499,52.5481,1,0.168147
21.678,2.2562e+06,52.6728,52.7126,52.5499,52.5481,1,0.162693
21.764,2.25627e+06,52.715,52.7183,52.5499,52.5481,1,0.168471
21.848,2.25617e+06,52.6546,52.7128,52.5499,52.5481,1,0.162953
21.934,2.25624e+06,52.6988,52.7105,52.5499,52.5481,1,0.160681
22.02,2.25621e+06,52.678,52.709,52.5499,52.5481,1,0.159123
22.106,2.25622e+06,52.6845,52.7105,52.5499,52.5481,1,0.160616
22.192,2.25625e+06,52.704,52.7079,52.5499,52.5481,1,0.158084
22.278,2.25632e+06,52.7507,52.7117,52.5499,52.5481,1,0.161849
22.364,2.25627e+06,52.715,52.703,52.5499,52.5481,1,0.15315
22.45,2.2562e+06,52.6748,52.6948,52.5499,52.5481,1,0.14497
22.536,2.25617e+06,52.6501,52.6926,52.5499,52.5481,1,0.142698
22.622,2.25626e+06,52.7124,52.6923,52.5499,52.5481,1,0.142438
22.706,2.25625e+06,52.7066,52.6975,52.5499,52.5481,1,0.147632
22.792,2.25637e+06,52.7799,52.7056,52.5499,52.5481,1,0.155747
22.878,2.2563e+06,52.7332,52.7111,52.5499,52.5481,1,0.161265
22.964,2.25624e+06,52.6975,52.7124,52.5499,52.5481,1,0.162564
23.05,2.25626e+06,52.7137,52.7134,52.5499,52.5481,1,0.163537
23.136,2.25623e+06,52.6929,52.7076,52.5499,52.5481,1,0.157759
23.222,2.25626e+06,52.7137,52.7075,52.5499,52.5481,1,0.15763
23.308,2.25624e+06,52.6981,52.7098,52.5499,52.5481,1,0.159967
23.394,2.25623e+06,52.6891,52.7137,52.5499,52.5481,1,0.163862
23.48,2.25626e+06,52.7105,52.7135,52.5499,52.5481,1,0.163667
23.566,2.25621e+06,52.678,52.7107,52.5499,52.5481,1,0.160811
23.65,2.25627e+06,52.7176,52.7044,52.5499,52.5481,1,0.154578
23.736,2.25628e+06,52.7267,52.7038,52.5499,52.5481,1,0.153929
23.822,2.25616e+06,52.6456,52.6986,52.5499,52.5481,1,0.148735
23.908,2.25623e+06,52.6916,52.6964,52.5499,52.5481,1,0.146528
23.994,2.25628e+06,52.7241,52.6995,52.5499,52.5481,1,0.149644
