time,raw_data,1_after_scaling,2_after_smoothing,3_after_bias,4_after_hysteresis,steady
150.99,1.52745e+06,0.0357069,0.0644671,0,0,1
151.08,1.52748e+06,0.0564818,0.0628441,0,0,1
151.16,1.52746e+06,0.0428482,0.0586242,0,0,1
151.25,1.5275e+06,0.0675184,0.0533655,0,0,1
151.34,1.52756e+06,0.109717,0.0564818,0,0,1
151.42,1.52756e+06,0.106471,0.0647268,0,0,1
151.51,1.5275e+06,0.0720629,0.0677781,0,0,1
151.6,1.52754e+06,0.0980316,0.0691415,0,0,1
151.68,1.52753e+06,0.0863457,0.0721279,0,0,1
151.76,1.52749e+06,0.0610263,0.0736211,0,0,1
151.85,1.52755e+06,0.0986808,0.0799185,0,0,1
151.94,1.52754e+06,0.0915394,0.0834242,0,0,1
152.02,1.52751e+06,0.0772567,0.0868651,0,0,1
152.11,1.5275e+06,0.0694661,0.0870598,0,0,1
152.2,1.52744e+06,0.0324608,0.0793342,0,0,1
152.28,1.52744e+06,0.0318116,0.0718682,0,0,1
152.37,1.5275e+06,0.0655708,0.071219,0,0,1
152.45,1.52754e+06,0.0921886,0.0706347,0,0,1
152.54,1.52754e+06,0.0967331,0.0716734,0,0,1
152.62,1.52755e+06,0.0986808,0.0754389,0,0,1
152.71,1.52758e+06,0.120105,0.0775813,0,0,1
152.8,1.52752e+06,0.0818012,0.0766075,0,0,1
152.88,1.52743e+06,0.0233718,0.071219,0,0,1
152.97,1.52748e+06,0.0525865,0.069531,0,0,1
153.05,1.52742e+06,0.0155812,0.067843,0,0,1
153.14,1.52746e+06,0.0428482,0.0689467,0,0,1
153.23,1.52752e+06,0.0785551,0.0702451,0,0,1
153.31,1.52749e+06,0.0597278,0.0669991,0,0,1
153.4,1.52751e+06,0.0727122,0.064597,0,0,1
153.48,1.52746e+06,0.042199,0.0589488,0,0,1
153.57,1.52742e+06,0.0175288,0.0486912,0,0,1
153.65,1.52748e+06,0.0545341,0.0459645,0,0,1
153.74,1.52756e+06,0.105822,0.0542095,0,0,1
153.83,1.5276e+06,0.131791,0.0621299,0,0,1
153.91,1.52754e+06,0.0967331,0.0702451,0,0,1
154,1.52747e+06,0.051288,0.0710891,0,0,1
154.08,1.52742e+06,0.0175288,0.0649865,0,0,1
154.17,1.52743e+06,0.0246702,0.0614807,0,0,1
154.25,1.52748e+06,0.0558326,0.0597928,0,0,1
154.34,1.52752e+06,0.0850473,0.0640776,0,0,1
154.43,1.52758e+06,0.123351,0.0746598,0,0,1
154.51,1.52755e+06,0.0999792,0.0792043,0,0,1
154.6,1.52753e+06,0.0863457,0.0772567,0,0,1
154.68,1.52752e+06,0.0824504,0.0723226,0,0,1
154.77,1.52743e+06,0.0253194,0.0651813,0,0,1
154.86,1.52748e+06,0.0538849,0.0654409,0,0,1
154.94,1.52753e+06,0.0869949,0.0723876,0,0,1
155.03,1.52748e+06,0.0525865,0.0751792,0,0,1
155.11,1.52748e+06,0.0564818,0.0752441,0,0,1
155.2,1.52748e+06,0.0532357,0.0720629,0,0,1
155.28,1.52747e+06,0.051288,0.0648567,0,0,1
155.37,1.52748e+06,0.057131,0.0605718,0,0,1
155.46,1.52748e+06,0.057131,0.0576504,0,0,1
155.54,1.52748e+06,0.0584294,0.0552483,0,0,1
155.63,1.52746e+06,0.0460943,0.0573258,0,0,1
155.71,1.52749e+06,0.0636231,0.0582996,0,0,1
155.8,1.52751e+06,0.0772567,0.0573258,0,0,1
155.88,1.52747e+06,0.0473927,0.0568064,0,0,1
155.97,1.52745e+06,0.0376545,0.0549237,0,0,1
156.05,1.52742e+06,0.0142827,0.0510284,0,0,1
156.14,1.52746e+06,0.0402514,0.0499247,0,0,1
156.23,1.52746e+06,0.042199,0.0484315,0,0,1
156.31,1.52749e+06,0.0610263,0.048821,0,0,1
156.4,1.52751e+06,0.0779059,0.0507687,0,0,1
156.49,1.52748e+06,0.0532357,0.0514828,0,0,1
156.57,1.52753e+06,0.0895918,0.0540797,0,0,1
156.66,1.52759e+06,0.124649,0.0588189,0,0,1
156.74,1.52752e+06,0.0850473,0.0625844,0,0,1
156.83,1.52748e+06,0.0551833,0.0643373,0,0,1
156.91,1.52753e+06,0.0882933,0.0717383,0,0,1
157,1.52753e+06,0.0863457,0.0763478,0,0,1
157.09,1.52752e+06,0.0850473,0.0806326,0,0,1
157.17,1.52755e+06,0.0999792,0.0845279,0,0,1
157.26,1.52748e+06,0.0532357,0.0820609,0,0,1
157.34,1.52741e+06,0.00973824,0.0777111,0,0,1
157.43,1.52746e+06,0.042199,0.0729719,0,0,1
157.52,1.5275e+06,0.0655708,0.067064,0,0,1
157.6,1.52754e+06,0.0921886,0.0677781,0,0,1
157.69,1.52757e+06,0.112964,0.0735561,0,0,1
157.77,1.52752e+06,0.0805028,0.0727771,0,0,1
157.86,1.5275e+06,0.0694661,0.0710891,0,0,1
157.94,1.52751e+06,0.075309,0.0701153,0,0,1
158.03,1.52747e+06,0.0493404,0.0650514,0,0,1
158.12,1.52747e+06,0.0499896,0.0647268,0,0,1
158.2,1.52746e+06,0.0434975,0.0681027,0,0,1
158.29,1.52746e+06,0.0402514,0.067908,0,0,1
158.37,1.52746e+06,0.042199,0.0655708,0,0,1
158.46,1.52746e+06,0.0447959,0.0608315,0,0,1
158.54,1.52743e+06,0.0220733,0.0517425,0,0,1
158.63,1.52746e+06,0.0409006,0.0477823,0,0,1
158.72,1.52747e+06,0.0506388,0.0458996,0,0,1
158.8,1.52744e+06,0.0292147,0.0412901,0,0,1
158.89,1.52742e+06,0.0162304,0.0379791,0,0,1
158.97,1.52737e+06,-0.014932,0.031487,0,0,1
159.06,1.52737e+06,-0.018178,0.0253194,0,0,1
159.15,1.52742e+06,0.0162304,0.0229173,0,0,1
159.23,1.52742e+06,0.0175288,0.0204503,0,0,1
159.32,1.52746e+06,0.0434975,0.0203205,0,0,1
159.4,1.52747e+06,0.0493404,0.0230472,0,0,1
159.49,1.52748e+06,0.0538849,0.0243456,0,0,1
159.57,1.52751e+06,0.0733614,0.0266178,0,0,1
159.66,1.52744e+06,0.0279163,0.026488,0,0,1
159.75,1.52745e+06,0.0389529,0.0287603,0,0,1
159.83,1.52749e+06,0.0649216,0.0367456,0,0,1
159.92,1.52745e+06,0.0389529,0.0424587,0,0,1
160,1.5274e+06,0.00519373,0.041355,0,0,1
160.09,1.5275e+06,0.06622,0.0462242,0,0,1
160.17,1.5275e+06,0.0688169,0.0487561,0,0,1
160.26,1.52749e+06,0.0623247,0.0500545,0,0,1
160.35,1.52752e+06,0.084398,0.0531058,0,0,1
160.43,1.52749e+06,0.0642724,0.0521969,0,0,1
160.52,1.52748e+06,0.0545341,0.0548587,0,0,1
160.6,1.52746e+06,0.0454451,0.0555079,0,0,1
160.69,1.5275e+06,0.0720629,0.0562221,0,0,1
160.78,1.52748e+06,0.0590786,0.0582347,0,0,1
160.86,1.52746e+06,0.0434975,0.062065,0,0,1
160.95,1.5275e+06,0.0655708,0.0620001,0,0,1
161.03,1.52751e+06,0.0779059,0.062909,0,0,1
161.12,1.52751e+06,0.0733614,0.0640127,0,0,1
161.2,1.52752e+06,0.0798535,0.0635582,0,0,1
161.29,1.52756e+06,0.104524,0.0675834,0,0,1
161.38,1.52756e+06,0.109717,0.0731017,0,0,1
161.46,1.52752e+06,0.0830996,0.0768671,0,0,1
161.55,1.52746e+06,0.0434975,0.0740106,0,0,1
161.63,1.52749e+06,0.0603771,0.0741404,0,0,1
161.72,1.52755e+06,0.09933,0.0797237,0,0,1
161.8,1.52756e+06,0.10777,0.0839436,0,0,1
161.89,1.52747e+06,0.051288,0.0812818,0,0,1
161.98,1.52748e+06,0.0558326,0.0795289,0,0,1
162.06,1.52748e+06,0.0558326,0.0771268,0,0,1
162.15,1.52752e+06,0.0785551,0.07453,0,0,1
162.23,1.52756e+06,0.104524,0.0740106,0,0,1
162.32,1.52753e+06,0.0908902,0.0747897,0,0,1
162.41,1.52755e+06,0.0999792,0.0804378,0,0,1
162.49,1.52752e+06,0.0850473,0.0829049,0,0,1
162.58,1.52749e+06,0.0629739,0.0792692,0,0,1
162.66,1.52748e+06,0.0558326,0.0740755,0,0,1
162.75,1.52749e+06,0.0610263,0.0750493,0,0,1
