time,data
52.83,2256062
52.916,2256095
53.002,2256000
53.088,2255958
53.174,2256013
53.26,2256016
53.346,2256123
53.43,2256073
53.516,2255998
53.602,2256069
53.688,2256002
53.774,2256041
53.86,2256078
53.946,2256071
54.032,2256054
54.118,2256046
54.204,2256022
54.29,2256094
54.374,2256081
54.46,2256025
54.546,2255972
54.632,2256010
54.718,2256108
54.804,2256031
54.89,2256060
54.976,2255938
55.062,2256065
55.148,2256018
55.232,2255999
55.318,2255967
55.404,2255980
55.49,2256057
55.576,2256007
55.662,2255950
55.748,2255950
55.834,2256097
55.92,2256038
56.006,2256058
56.092,2255991
56.176,2256044
56.262,2256070
56.348,2256022
56.434,2255964
56.52,2255956
56.606,2256107
56.692,2256030
56.778,2255976
56.864,2255950
56.95,2256002
57.036,2256037
57.12,2256039
57.206,2256041
57.292,2256013
57.378,2256042
57.464,2256004
57.55,2255970
57.636,2256054
57.722,2256461
57.808,2256928
57.894,2257519
57.978,2258555
58.064,2260356
58.15,2262718
58.236,2265146
58.322,2266958
58.408,2268463
58.494,2269773
58.58,2271032
58.667,2272321
58.753,2274108
58.839,2276601
58.923,2279436
59.009,2282237
59.095,2284856
59.181,2286619
59.267,2288368
59.353,2289496
59.439,2290730
59.525,2291894
59.611,2293502
59.697,2295534
59.781,2298043
59.867,2300743
59.953,2303594
60.039,2306022
60.125,2307789
60.211,2309164
60.297,2310313
60.383,2311460
60.469,2312550
60.555,2313677
60.641,2315071
60.725,2317060
60.811,2319500
60.897,2322421
60.983,2325460
61.069,2327418
61.155,2328326
61.241,2328193
61.327,2328079
61.413,2328176
61.499,2328233
61.585,2328338
61.669,2328407
61.755,2328060
61.841,2328142
61.927,2328145
62.013,2328120
62.099,2328070
62.185,2328076
62.271,2327984
62.357,2328037
62.443,2328221
62.527,2328069
62.613,2328013
62.699,2328039
62.785,2328108
62.871,2328086
62.957,2328140
63.043,2328137
63.129,2328101
63.215,2328138
63.301,2328245
63.387,2328178
63.471,2328010
63.557,2328050
63.643,2328267
63.729,2328202
63.815,2328014
63.901,2328116
63.987,2328088
64.073,2328031
64.159,2328147
64.245,2328102
64.329,2328061
64.415,2328102
64.501,2328019
64.587,2328038
64.673,2328156
64.759,2328149
64.845,2328133
64.931,2328096
65.017,2328096
65.103,2328141
65.189,2328114
65.273,2328112
65.359,2328140
65.445,2328107
65.531,2328092
65.617,2328109
65.703,2328202
65.789,2328058
65.875,2328161
65.961,2328132
66.048,2328071
66.134,2328157
66.217,2328179
66.304,2328111
66.39,2328139
66.476,2328070
66.562,2328064
66.648,2328058
66.734,2328084
66.82,2328084
66.906,2328040
66.992,2328103
67.076,2328099
67.162,2328063
67.248,2328038
67.334,2328104
67.42,2327999
67.506,2328026
67.592,2328092
67.678,2328065
67.764,2328063
67.85,2328087
67.934,2328128
68.02,2328086
68.106,2328018
68.192,2328001
68.278,2327983
68.364,2327976
68.45,2328091
68.536,2328084
68.622,2328081
68.708,2327948
68.794,2327972
68.878,2328000
68.964,2328048
69.05,2328064
69.136,2328041
69.222,2328113
69.308,2328103
69.394,2328103
69.48,2328041
69.566,2327996
69.652,2328020
69.738,2328082
69.822,2328106
69.908,2328083
69.994,2328001
70.08,2327986
70.166,2328005
70.252,2327944
70.338,2328024
70.424,2328009
70.51,2327966
70.596,2327941
70.68,2328048
70.766,2327941
70.852,2327932
70.938,2327986
71.024,2327999
71.11,2327927
71.196,2327923
71.282,2327914
71.368,2327991
71.454,2327942
71.538,2327959
71.624,2327876
71.71,2327934
71.796,2327950
71.882,2328016
71.968,2327964
72.054,2328022
72.14,2328042
72.226,2327925
72.312,2327948
72.398,2327873
72.482,2327963
72.568,2328009
72.654,2328044
72.74,2327940
72.826,2327931
72.912,2327879
72.998,2327871
73.084,2327874
73.17,2327899
73.256,2327994
73.34,2327925
73.426,2327959
73.512,2327917
73.598,2327908
73.684,2327922
73.771,2327871
73.857,2327930
73.943,2327920
74.029,2327950
74.115,2327990
74.201,2327881
74.285,2327851
74.371,2327965
74.457,2327960
74.543,2327949
74.629,2327893
74.715,2327885
74.801,2327885
74.887,2327888
74.973,2327845
75.059,2327821
75.143,2327878
75.229,2327843
75.315,2327917
75.401,2327846
75.487,2327911
75.573,2327923
75.659,2327897
75.745,2327869
75.831,2327835
75.917,2328007
76.003,2328099
76.087,2327764
76.173,2327777
76.259,2328086
76.345,2327928
76.431,2327772
76.517,2327963
76.603,2327725
76.689,2327754
76.775,2328134
76.861,2327939
76.945,2327793
77.031,2327851
77.117,2327971
77.203,2327959
77.289,2328000
77.375,2327771
77.461,2327844
77.547,2327940
77.633,2327821
77.719,2327874
77.805,2327816
77.889,2327688
77.975,2327774
78.061,2328072
78.147,2327891
78.233,2327762
78.319,2327940
78.405,2327772
78.491,2327817
78.577,2327843
78.663,2327791
78.747,2327804
78.833,2327871
78.919,2327862
79.005,2327741
79.091,2327721
79.177,2327873
79.263,2327734
79.349,2327817
79.435,2327797
79.521,2327803
79.607,2327790
79.691,2327764
79.777,2327923
79.863,2327745
79.949,2327758
80.035,2327857
80.121,2327789
80.207,2327761
80.293,2327798
80.379,2327827
80.465,2327776
80.549,2327905
80.635,2327730
80.721,2327769
80.807,2327721
80.893,2327753
80.979,2327785
81.065,2327772
81.152,2327835
81.238,2327744
81.324,2327795
81.41,2327837
81.494,2327782
81.58,2327694
81.666,2327659
81.752,2327765
81.838,2327642
81.924,2327750
82.01,2327792
82.096,2327734
82.182,2327719
82.268,2327704
82.352,2327574
82.438,2327735
82.524,2327855
82.61,2328434
82.696,2328927
82.782,2329997
82.868,2331504
82.954,2332840
83.04,2334298
83.126,2335675
83.212,2337051
83.296,2338418
83.382,2339832
83.468,2341634
83.554,2343927
83.64,2346199
83.726,2348855
83.812,2351405
83.898,2353463
83.984,2356007
84.07,2358303
84.154,2360222
84.24,2362169
84.326,2363902
84.412,2365049
84.498,2365608
84.584,2366750
84.67,2367910
84.756,2369345
84.842,2370950
84.928,2373382
85.014,2376657
85.098,2377684
85.184,2378505
85.27,2383282
85.356,2384969
85.442,2385241
85.528,2387878
85.614,2389359
85.7,2391443
85.786,2393742
85.872,2395933
85.956,2398107
86.042,2400393
86.128,2400628
86.214,2402044
86.3,2404887
86.386,2406382
86.472,2405623
86.558,2405134
86.644,2405002
86.73,2405111
86.816,2405111
86.9,2405019
86.986,2405015
87.072,2405146
87.158,2405213
87.244,2405047
87.33,2405015
87.416,2405005
87.502,2405081
87.588,2405089
87.674,2405082
87.76,2405049
87.844,2404967
87.93,2404974
88.016,2405072
88.102,2405127
88.188,2405105
88.274,2405142
88.36,2405073
88.446,2404995
88.532,2405033
88.619,2405018
88.702,2405063
88.788,2404998
88.875,2404998
88.961,2405080
89.047,2405118
89.133,2405040
89.219,2405039
89.305,2404963
89.391,2404992
89.477,2405012
89.563,2405050
89.647,2405074
89.733,2405065
89.819,2404933
89.905,2405079
89.991,2405051
90.077,2405016
90.163,2404872
90.249,2404972
90.335,2405045
90.421,2404981
90.507,2405057
90.591,2404949
90.677,2404849
90.763,2404875
90.849,2404826
90.935,2404873
91.021,2404957
91.107,2404995
91.193,2404900
91.279,2404924
91.365,2404797
91.449,2404836
91.535,2404943
91.621,2404852
91.707,2404863
91.793,2404866
91.879,2404816
91.965,2404862
92.051,2404888
92.137,2404895
92.223,2404988
92.309,2404981
92.393,2404937
92.479,2404912
92.565,2404935
92.651,2404887
92.737,2404854
92.823,2404915
92.909,2404881
92.995,2404907
93.081,2404926
93.167,2404909
93.251,2404881
93.337,2404832
93.423,2404880
93.509,2404893
93.595,2404823
93.681,2404900
93.767,2404893
93.853,2404836
93.939,2404872
94.025,2404871
94.111,2404844
94.195,2404859
94.281,2404870
94.367,2404861
94.453,2404864
94.539,2404890
94.625,2404870
94.711,2404807
94.797,2404882
94.883,2404808
94.969,2404797
95.053,2404777
95.139,2404796
95.225,2404835
95.311,2404844
95.397,2404788
95.483,2404756
95.569,2404771
95.655,2404747
95.741,2404831
95.827,2404837
95.913,2404855
95.997,2404868
96.083,2404774
96.169,2404865
96.256,2404781
96.342,2404787
96.428,2404803
96.514,2404741
96.6,2404766
96.686,2404658
96.772,2404699
96.856,2404864
96.942,2404799
97.028,2404855
97.114,2404750
97.2,2404724
97.286,2404637
97.372,2404669
97.458,2404731
97.544,2404655
97.63,2404672
97.716,2404710
97.8,2404793
97.886,2404768
97.972,2404753
98.058,2404727
98.144,2404772
98.23,2404705
98.316,2404703
98.402,2404713
98.488,2404635
98.574,2404659
98.66,2404610
98.744,2404737
98.83,2404808
98.916,2404585
99.002,2404588
99.088,2404685
99.174,2404546
99.26,2404463
99.346,2404692
99.432,2404795
99.518,2404705
99.602,2404730
99.688,2404672
99.774,2404678
99.86,2404699
99.946,2404693
100.032,2404691
100.118,2404712
100.204,2404630
100.29,2404610
100.376,2404696
100.462,2404660
100.546,2404709
100.632,2404657
100.718,2404612
100.804,2404585
100.89,2404649
100.976,2404702
101.062,2404765
101.148,2404769
101.234,2404641
101.32,2404615
101.406,2404641
101.49,2404600
101.576,2404671
101.662,2404740
101.748,2404738
101.834,2404746
101.92,2404655
102.006,2404573
102.092,2404654
102.178,2404662
102.264,2404620
102.348,2404671
102.434,2404756
102.52,2405252
102.606,2405977
102.692,2407610
102.778,2409642
102.864,2411513
102.95,2413448
103.036,2415285
103.122,2417284
103.208,2419159
103.292,2421189
103.378,2423082
103.464,2425047
103.55,2426884
103.636,2428739
103.723,2430909
103.809,2433246
103.895,2435389
103.981,2437503
104.067,2439390
104.153,2441198
104.237,2442611
104.323,2443904
104.409,2445114
104.495,2446319
104.581,2447448
